categoria,descricao
CAMARIM,ALIMENTOS
CAMARIM,BEBIDAS
CAMARIM,CAMARIM | ESTRUTURA
CAMARIM,EXTRAS
CENOGRAFIA,ADESIVOS
CENOGRAFIA,ATIVAÇÃO
CENOGRAFIA,DECORAÇÃO
CENOGRAFIA,DEMAIS ITENS
CENOGRAFIA,FORRAÇÃO
CENOGRAFIA,LETREIROS
CENOGRAFIA,LONAS
CENOGRAFIA,MOBILIÁRIO
CENOGRAFIA,PAISAGISMO
DIVULGAÇÃO,ADESIVOS LOUNGE
DIVULGAÇÃO,ANÚNCIOS / TRÁFEGO PAGO
DIVULGAÇÃO,ASSESSORIA DE IMPRENSA
DIVULGAÇÃO,CAMISETAS / ABADÁS
DIVULGAÇÃO,COBERTURA LOCAL
DIVULGAÇÃO,COMUNICADOR
DIVULGAÇÃO,ENTREGA | PRESS KIT
DIVULGAÇÃO,INFLUENCER
DIVULGAÇÃO,LETREIROS LED
DIVULGAÇÃO,OUTDOOR
DIVULGAÇÃO,PRESS KIT
DIVULGAÇÃO,RÁDIO
DIVULGAÇÃO,SOCIAL MEDIA
DIVULGAÇÃO,TV
DIVULGAÇÃO,VJ
ESTRUTURA GERAL,BALCAO | PORTICO
ESTRUTURA GERAL,BANHEIRO QUÍMICO
ESTRUTURA GERAL,BANHEIRO VIP
ESTRUTURA GERAL,BAR ATIVADO + INTAGRAMÁVEL
ESTRUTURA GERAL,BARRICADA / ANTIAVALANCHE
ESTRUTURA GERAL,ESPAÇO | LOCAL DO EVENTO
ESTRUTURA GERAL,EXTINTORES
ESTRUTURA GERAL,FECHAMENTO
ESTRUTURA GERAL,GERADOR DE ENERGIA 260KVA (MODO RESERVA)
ESTRUTURA GERAL,GERADOR DE ENERGIA 500KVA (PARALELO)
ESTRUTURA GERAL,GERADOR DE ENERGIA 500KVA (STAND BY)
ESTRUTURA GERAL,GERADORES DE ENERGIA 260KVA (USO CONTINUO)
ESTRUTURA GERAL,GERADORES DE ENERGIA 500KVA (USO CONTINUO)
ESTRUTURA GERAL,GRADIL
ESTRUTURA GERAL,HOUSE
ESTRUTURA GERAL,ILUMINAÇÃO | CÊNICA
ESTRUTURA GERAL,ILUMINAÇÃO | SERVIÇO
ESTRUTURA GERAL,LONA LATERAL 10X3
ESTRUTURA GERAL,LONA LATERAL 5X3
ESTRUTURA GERAL,PASSA CABO
ESTRUTURA GERAL,POSTO MÉDICO
ESTRUTURA GERAL,PRAÇA DE ALIMENTAÇÃO
ESTRUTURA GERAL,PRATICÁVEL
ESTRUTURA GERAL,TENDA 10X10
ESTRUTURA GERAL,TENDA 8X8
ESTRUTURA GERAL,TENDA 6X6
ESTRUTURA GERAL,TENDA 5X5
ESTRUTURA GERAL,TENDA 4X4
ESTRUTURA PALCO,PALCO | CARPETE
ESTRUTURA PALCO,PALCO | ESTRUTURA
ESTRUTURA PALCO,PALCO | FORRAÇÃO
ESTRUTURA PALCO,PALCO | LED
ESTRUTURA PALCO,PALCO | TESTEIRA
ESTRUTURA PALCO,SONORIZAÇÃO
ESTRUTURA PALCO,ILUMINAÇÃO CÊNICA
LICENÇAS E TAXAS,ALVARÁ | FUNCIONAMENTO
LICENÇAS E TAXAS,ALVARÁ | SANITÁRIO
LICENÇAS E TAXAS,IMPOSTO | FEDERAL
LICENÇAS E TAXAS,IMPOSTO | GUIA ISS
LICENÇAS E TAXAS,TAXA | AMBIENTAL
LICENÇAS E TAXAS,TAXA | AMMA
LICENÇAS E TAXAS,TAXA | ART
LICENÇAS E TAXAS,TAXA | ASSESSORIA BOMBEIRO + PROJETO
LICENÇAS E TAXAS,TAXA | CÓPIAS E ENCADERNAÇÕES
LICENÇAS E TAXAS,TAXA | DARE PROJETO
LICENÇAS E TAXAS,TAXA | DUAM
LICENÇAS E TAXAS,TAXA | ECAD
LICENÇAS E TAXAS,TAXA | LAUDO ANTI CHAMAS
LICENÇAS E TAXAS,TAXA | RRT PROJETO
LICENÇAS E TAXAS,TAXA | RUÍDO
LICENÇAS E TAXAS,TAXA | SEGURO
LICENÇAS E TAXAS,TAXA | TAXA DE INSPEÇÃO E FUNCIONAMENTO
LICENÇAS E TAXAS,TAXA | TICKETEIRA - CARTÃO
LICENÇAS E TAXAS,TAXA | TICKETEIRA - PIX
LICENÇAS E TAXAS,TAXA | USO DO SOLO
LICENÇAS E TAXAS,TAXA | VIGILÂNCIA SANITÁRIA
LOGÍSTICA,COORD. LOGÍSTICA
LOGÍSTICA,LOGISTICA TERRESTRE (VANS)
LOGÍSTICA,PASSAGEM 1
MÍDIA,AFTER MOVIE
MÍDIA,AGÊNCIA DE MKT
MÍDIA,DESIGNER
MÍDIA,EQUIPE | FOTOGRAFIA + FILMAGEM
MÍDIA,GESTÃO DE GRUPOS
MÍDIA,GESTÃO DE INFLUENCERS
MÍDIA,MIDIA - GRAVAÇÃO
MÍDIA,SAC | ATENDIMENTO
MÍDIA,TRANSMISSÃO
OUTROS,ÁGUA - MONTAGEM/DESMONTAGEM
OUTROS,COMBUSTÍVEL
OUTROS,COPOS
OUTROS,EXTRAS
OUTROS,GRÁFICA (CRACHÁS)
OUTROS,GRÁFICA (PULSEIRAS)
OUTROS,OUTROS
OUTROS,BRINQUEDOS INFLÁVEIS
OUTROS,TICKETEIRA - TROCA DE INGRESSOS
PROJETO,PROJETO | 3D
PROJETO,PROJETO | BOMBEIROS
PROJETO,PROJETO | CENOGRAFIA
PROJETO,PROJETO | EVENTO
PROJETO,PROJETO | LED
PROJETO,PROJETO | PALCO
RH,APRESENTADOR / LOCUTOR
RH,BRIGADISTAS | DESMONTAGEM
RH,BRIGADISTAS | EVENTO
RH,BRIGADISTAS | MONTAGEM
RH,CARREGADORES | DESMONTAGEM
RH,CARREGADORES | EVENTO
RH,CARREGADORES | MONTAGEM
RH,CREDENCIAMENTO | COORDENADOR
RH,CREDENCIAMENTO | EFETIVO
RH,FINANCEIRO
RH,FISCAL DE ACESSOS | COMBUSTÍVEL
RH,FISCAL DE ACESSOS | COORDENAÇÃO
RH,FISCAL DE ACESSOS | EFETIVO
RH,LIMPEZA | CESTOS DE LIXO
RH,LIMPEZA | EFETIVO
RH,LIMPEZA | EFETIVO | MONTAGEM E DESMONTAGEM
RH,LIMPEZA | INSUMOS
RH,PATRIMONIAL
RH,POLICIAIS
RH,PORTARIA | COORDENADOR
RH,PORTARIA | EFETIVO
RH,PRODUTOR | CAMARIM (AUXILIAR)]
RH,PRODUTOR | CAMARIM (COORD)
RH,PRODUTOR | GERAL
RH,PRODUTOR | GERAL (AUXILIAR)
RH,PRODUTOR | PALCO
RH,PRODUTOR | AUXILIAR (PALCO)
RH,PRODUTOR | RODIE
RH,PRODUTOR | SINALIZAÇÃO
RH,SEGURANÇA | COORDENADOR
RH,SEGURANÇA | EFETIVO
SERVIÇOS,ADVOGADO
SERVIÇOS,AMBULÂNCIA
SERVIÇOS,CAÇAMBA
SERVIÇOS,CAMINHÃO PIPA
SERVIÇOS,CLIPAGEM
SERVIÇOS,COLETA DE RESÍDUOS
SERVIÇOS,CONTABILIDADE
SERVIÇOS,DESPACHANTE
SERVIÇOS,DESPESAS LOGISTICA EQUIPE
SERVIÇOS,EFEITOS E FOGOS
SERVIÇOS,ELETRICISTA + ATERRAMENTO
SERVIÇOS,EMPILHADEIRA
SERVIÇOS,EMPILHADEIRA | OPERADOR
SERVIÇOS,ENGENHEIRO
SERVIÇOS,ESTACIONAMENTO
SERVIÇOS,FIOS + CABOS + INTERRUPTORES (ESTRUTURA LOCAL - ELÉTRICO)
SERVIÇOS,FRETE
SERVIÇOS,GUINCHO
SERVIÇOS,INTERNET
SERVIÇOS,LANCHE POLICIAIS
SERVIÇOS,LIMPA FOSSA
SERVIÇOS,RADIOS COMUNICADORES
SERVIÇOS,COORDENADOR DE PESQUISA
SERVIÇOS,EFETIVO DE PESQUISA
SERVIÇOS,PRESTAÇÃO DE CONTAS
SERVIÇOS,TÉCNICO DE SEGURANÇA DO TRABALHO
